,0,1,2,3
100,847.0,5.0,11.0,3.0
101,848.0,4.0,9.0,3.0
102,850.0,2.0,8.0,3.0
103,851.0,5.0,9.0,3.0
104,856.0,4.0,10.0,3.0
105,857.0,2.0,8.0,3.0
106,865.0,5.0,10.0,3.0
107,870.0,4.0,11.0,3.0
108,871.0,2.0,10.0,3.0
109,874.0,5.0,9.0,3.0
110,875.0,4.0,9.0,3.0
111,876.0,2.0,10.0,3.0
112,880.0,5.0,10.0,3.0
113,882.0,4.0,10.0,3.0
114,885.0,2.0,8.0,3.0
115,888.0,5.0,11.0,3.0
116,894.0,4.0,11.0,3.0
117,897.0,2.0,10.0,3.0
118,899.0,5.0,9.0,3.0
119,902.0,4.0,9.0,3.0
120,905.0,2.0,10.0,3.0
121,907.0,5.0,10.0,3.0
122,916.0,4.0,7.0,3.0
123,918.0,2.0,9.0,3.0
124,920.0,5.0,9.0,3.0
125,923.0,4.0,9.0,3.0
126,924.0,2.0,9.0,3.0
127,925.0,5.0,8.0,3.0
128,931.0,4.0,9.0,3.0
129,932.0,2.0,8.0,3.0
130,935.0,5.0,9.0,3.0
131,936.0,4.0,8.0,3.0
132,937.0,2.0,8.0,3.0
133,942.0,5.0,11.0,3.0
134,943.0,4.0,9.0,3.0
135,944.0,2.0,10.0,3.0
136,946.0,5.0,9.0,3.0
137,951.0,4.0,9.0,3.0
138,953.0,2.0,8.0,3.0
139,954.0,5.0,10.0,3.0
140,956.0,4.0,12.0,3.0
141,957.0,2.0,9.0,3.0
142,963.0,5.0,10.0,3.0
143,964.0,4.0,8.0,3.0
144,966.0,2.0,10.0,3.0
145,973.0,5.0,11.0,3.0
146,974.0,4.0,8.0,3.0
147,976.0,2.0,9.0,3.0
148,978.0,5.0,10.0,3.0
149,979.0,4.0,8.0,3.0
150,982.0,2.0,9.0,3.0
151,992.0,5.0,11.0,3.0
152,996.0,4.0,10.0,3.0
153,997.0,2.0,8.0,3.0
154,1001.0,5.0,12.0,3.0
155,1004.0,4.0,9.0,3.0
156,1007.0,2.0,8.0,3.0
157,1010.0,5.0,11.0,3.0
158,1011.0,4.0,10.0,3.0
159,1014.0,2.0,9.0,3.0
160,1015.0,5.0,11.0,3.0
161,1016.0,4.0,8.0,3.0
162,1019.0,2.0,10.0,3.0
163,1021.0,5.0,10.0,3.0
164,1028.0,4.0,11.0,3.0
165,1030.0,2.0,9.0,3.0
166,1035.0,5.0,10.0,3.0
167,1040.0,4.0,8.0,3.0
168,1042.0,2.0,10.0,3.0
169,1045.0,5.0,10.0,3.0
170,1053.0,4.0,8.0,3.0
171,1055.0,2.0,7.0,3.0
172,1056.0,5.0,12.0,3.0
173,1060.0,4.0,11.0,3.0
174,1061.0,2.0,10.0,3.0
175,1064.0,5.0,9.0,3.0
176,1066.0,4.0,11.0,3.0
177,1067.0,2.0,9.0,3.0
178,1069.0,5.0,11.0,3.0
179,1070.0,4.0,11.0,3.0
180,1074.0,2.0,8.0,3.0
181,1077.0,5.0,9.0,3.0
182,1078.0,4.0,9.0,3.0
183,1082.0,2.0,9.0,3.0
184,1083.0,5.0,11.0,3.0
185,1085.0,4.0,8.0,3.0
186,1087.0,2.0,9.0,3.0
187,1089.0,5.0,11.0,3.0
188,1090.0,4.0,9.0,3.0
189,1093.0,2.0,9.0,3.0
190,1097.0,5.0,9.0,3.0
191,1101.0,4.0,8.0,3.0
192,1104.0,2.0,10.0,3.0
193,1105.0,5.0,7.0,3.0
194,1112.0,4.0,11.0,3.0
195,1116.0,2.0,9.0,3.0
196,1119.0,5.0,9.0,3.0
197,1127.0,4.0,9.0,3.0
198,1129.0,2.0,10.0,3.0
199,1130.0,5.0,10.0,3.0
200,1133.0,4.0,9.0,3.0
201,1139.0,2.0,8.0,3.0
202,1140.0,5.0,11.0,3.0
203,1141.0,4.0,9.0,3.0
204,1142.0,2.0,8.0,3.0
205,1145.0,5.0,9.0,3.0
206,1148.0,4.0,11.0,3.0
207,1156.0,2.0,9.0,3.0
208,1158.0,5.0,11.0,3.0
209,1163.0,4.0,9.0,3.0
210,1165.0,2.0,9.0,3.0
211,1166.0,5.0,12.0,3.0
212,1173.0,4.0,9.0,3.0
213,1174.0,2.0,9.0,3.0
214,1175.0,5.0,11.0,3.0
215,1178.0,4.0,10.0,3.0
216,1184.0,2.0,8.0,3.0
217,1186.0,5.0,11.0,3.0
218,1189.0,4.0,10.0,3.0
219,1194.0,2.0,8.0,3.0
220,1199.0,5.0,10.0,3.0
221,1200.0,4.0,10.0,3.0
222,1202.0,2.0,9.0,3.0
223,1204.0,5.0,12.0,3.0
224,1211.0,4.0,8.0,3.0
225,1213.0,2.0,11.0,3.0
226,1214.0,5.0,9.0,3.0
227,1215.0,4.0,9.0,3.0
228,1217.0,2.0,9.0,3.0
229,1219.0,5.0,11.0,3.0
230,1220.0,4.0,8.0,3.0
231,1221.0,2.0,9.0,3.0
232,1222.0,5.0,11.0,3.0
233,1225.0,4.0,8.0,3.0
234,1226.0,2.0,9.0,3.0
235,1228.0,5.0,11.0,3.0
236,1233.0,4.0,11.0,3.0
237,1235.0,2.0,8.0,3.0
238,1239.0,5.0,11.0,3.0
239,1247.0,4.0,9.0,3.0
240,1248.0,2.0,8.0,3.0
241,1251.0,5.0,11.0,3.0
242,1257.0,4.0,10.0,3.0
243,1258.0,2.0,9.0,3.0
244,1259.0,5.0,10.0,3.0
245,1262.0,4.0,9.0,3.0
246,1263.0,2.0,9.0,3.0
247,1268.0,5.0,11.0,3.0
248,1270.0,4.0,11.0,3.0
249,1275.0,2.0,7.0,3.0
250,1276.0,5.0,11.0,3.0
251,1288.0,4.0,9.0,3.0
252,1290.0,2.0,8.0,3.0
253,1292.0,5.0,10.0,3.0
254,1293.0,4.0,8.0,3.0
255,1296.0,2.0,8.0,3.0
256,1297.0,5.0,10.0,3.0
257,1298.0,4.0,9.0,3.0
258,1303.0,2.0,10.0,3.0
259,1304.0,5.0,11.0,3.0
260,1311.0,4.0,11.0,3.0
261,1313.0,2.0,7.0,3.0
262,1318.0,5.0,10.0,3.0
263,1325.0,4.0,7.0,3.0
264,1326.0,2.0,9.0,3.0
265,1328.0,5.0,12.0,3.0
266,1329.0,4.0,8.0,3.0
267,1332.0,2.0,8.0,3.0
268,1336.0,5.0,8.0,3.0
269,1339.0,4.0,10.0,3.0
270,1342.0,2.0,9.0,3.0
271,1345.0,5.0,10.0,3.0
272,1347.0,4.0,10.0,3.0
273,1348.0,2.0,8.0,3.0
274,1353.0,5.0,10.0,3.0
275,1356.0,4.0,8.0,3.0
276,1359.0,2.0,9.0,3.0
277,1361.0,5.0,10.0,3.0
278,1364.0,4.0,8.0,3.0
279,1367.0,2.0,10.0,3.0
280,1368.0,5.0,11.0,3.0
281,1373.0,4.0,8.0,3.0
282,1375.0,2.0,9.0,3.0
283,1378.0,5.0,9.0,3.0
284,1381.0,4.0,7.0,3.0
285,1382.0,2.0,11.0,3.0
286,1385.0,5.0,10.0,3.0
287,1390.0,4.0,9.0,3.0
288,1391.0,2.0,8.0,3.0
289,1393.0,5.0,12.0,3.0
290,1395.0,4.0,9.0,3.0
291,1398.0,2.0,9.0,3.0
292,1406.0,5.0,9.0,3.0
293,1408.0,4.0,10.0,3.0
294,1412.0,2.0,9.0,3.0
295,1415.0,5.0,12.0,3.0
296,1419.0,4.0,9.0,3.0
297,1420.0,2.0,11.0,3.0
298,1421.0,5.0,9.0,3.0
299,1422.0,4.0,8.0,3.0
300,1424.0,2.0,10.0,3.0
301,1428.0,5.0,9.0,3.0
302,1431.0,4.0,10.0,3.0
303,1434.0,2.0,8.0,3.0
304,1441.0,5.0,10.0,3.0
305,1443.0,4.0,10.0,3.0
306,1453.0,2.0,9.0,3.0
307,1461.0,5.0,9.0,3.0
308,1465.0,4.0,8.0,3.0
309,1469.0,2.0,8.0,3.0
310,1471.0,5.0,11.0,3.0
311,1473.0,4.0,11.0,3.0
312,1474.0,2.0,10.0,3.0
313,1475.0,5.0,10.0,3.0
314,1476.0,4.0,9.0,3.0
315,1477.0,2.0,10.0,3.0
316,1478.0,5.0,10.0,3.0
317,1483.0,4.0,8.0,3.0
318,1484.0,2.0,10.0,3.0
319,1498.0,5.0,10.0,3.0
320,1500.0,4.0,9.0,3.0
321,1502.0,2.0,8.0,3.0
322,1503.0,5.0,11.0,3.0
323,1506.0,4.0,8.0,3.0
324,1507.0,2.0,9.0,3.0
325,1510.0,5.0,10.0,3.0
326,1513.0,4.0,11.0,3.0
327,1521.0,2.0,9.0,3.0
328,1523.0,5.0,11.0,3.0
329,1526.0,4.0,10.0,3.0
330,1534.0,2.0,9.0,3.0
331,1535.0,5.0,11.0,3.0
332,1536.0,4.0,9.0,3.0
333,1539.0,2.0,6.0,3.0
334,1543.0,5.0,10.0,3.0
335,1547.0,4.0,9.0,3.0
336,1548.0,2.0,8.0,3.0
337,1555.0,5.0,11.0,3.0
338,1563.0,4.0,8.0,3.0
339,1565.0,2.0,10.0,3.0
340,1566.0,5.0,9.0,3.0
341,1568.0,4.0,7.0,3.0
342,1578.0,2.0,10.0,3.0
343,1580.0,5.0,10.0,3.0
344,1582.0,4.0,9.0,3.0
345,1583.0,2.0,7.0,3.0
346,1584.0,5.0,9.0,3.0
347,1586.0,4.0,8.0,3.0
