,0,1,2,3,4,5
46,155.0,6.0,10.0,1.0,1.0,0.0
47,157.0,6.0,10.0,1.0,1.0,0.0
48,161.0,6.0,10.0,1.0,1.0,0.0
49,162.0,6.0,10.0,1.0,1.0,0.0
50,204.0,2.0,9.0,0.0,0.07500000000000001,1.0
51,205.0,2.0,9.0,0.0,0.07500000000000001,1.0
52,217.0,2.0,8.0,0.0,0.07500000000000001,1.0
53,251.0,2.0,8.0,0.0,0.07500000000000001,1.0
54,311.0,2.0,10.0,0.0,0.07500000000000001,1.0
55,397.0,2.0,9.0,0.0,0.07500000000000001,1.0
56,450.0,2.0,9.0,0.0,0.07500000000000001,1.0
57,493.0,2.0,9.0,0.0,0.07500000000000001,1.0
58,633.0,2.0,10.0,0.0,0.07500000000000001,1.0
59,819.0,2.0,8.0,0.0,0.07500000000000001,1.0
60,836.0,2.0,9.0,0.0,0.07500000000000001,1.0
61,849.0,2.0,9.0,0.0,0.07500000000000001,1.0
62,852.0,2.0,7.0,0.0,0.07500000000000001,1.0
63,880.0,2.0,8.0,0.0,0.07500000000000001,1.0
64,924.0,2.0,8.0,0.0,0.07500000000000001,1.0
65,954.0,2.0,8.0,0.0,0.07500000000000001,1.0
66,973.0,2.0,8.0,0.0,0.07500000000000001,1.0
67,991.0,2.0,9.0,0.0,0.07500000000000001,1.0
68,997.0,2.0,8.0,0.0,0.07500000000000001,1.0
69,1019.0,2.0,8.0,0.0,0.07500000000000001,1.0
70,1037.0,2.0,9.0,0.0,0.07500000000000001,1.0
71,1061.0,2.0,9.0,0.0,0.07500000000000001,1.0
72,1104.0,2.0,9.0,0.0,0.07500000000000001,1.0
73,1111.0,2.0,8.0,0.0,0.07500000000000001,1.0
74,1119.0,2.0,9.0,0.0,0.07500000000000001,1.0
75,1162.0,2.0,10.0,0.0,0.07500000000000001,1.0
76,1182.0,2.0,9.0,0.0,0.07500000000000001,1.0
77,1207.0,2.0,9.0,0.0,0.07500000000000001,1.0
78,1270.0,2.0,8.0,0.0,0.07500000000000001,1.0
79,1280.0,2.0,9.0,0.0,0.07500000000000001,1.0
80,1406.0,2.0,9.0,0.0,0.07500000000000001,1.0
81,1408.0,2.0,9.0,0.0,0.07500000000000001,1.0
82,1462.0,2.0,9.0,0.0,0.07500000000000001,1.0
83,1516.0,2.0,9.0,0.0,0.07500000000000001,1.0
84,1520.0,2.0,9.0,0.0,0.07500000000000001,1.0
85,1584.0,2.0,10.0,0.0,0.07500000000000001,1.0
86,1608.0,2.0,10.0,0.0,0.07500000000000001,1.0
87,1650.0,2.0,10.0,0.0,0.07500000000000001,1.0
88,1667.0,2.0,9.0,0.0,0.07500000000000001,1.0
89,1673.0,2.0,9.0,0.0,0.07500000000000001,1.0
90,1730.0,2.0,9.0,0.0,0.07500000000000001,1.0
91,1800.0,2.0,10.0,0.0,0.07500000000000001,1.0
92,1827.0,2.0,9.0,0.0,0.07500000000000001,1.0
93,1835.0,2.0,9.0,0.0,0.07500000000000001,1.0
94,1867.0,2.0,10.0,0.0,0.07500000000000001,1.0
95,1920.0,2.0,9.0,0.0,0.07500000000000001,1.0
96,1982.0,2.0,9.0,0.0,0.07500000000000001,1.0
97,2018.0,2.0,9.0,0.0,0.07500000000000001,1.0
98,2124.0,2.0,9.0,0.0,0.07500000000000001,1.0
99,2135.0,2.0,9.0,0.0,0.07500000000000001,1.0
100,164.0,6.0,10.0,0.0,0.07500000000000001,1.0
101,167.0,6.0,10.0,0.0,0.07500000000000001,1.0
